"","cluster","old.nd","new.nd","change.nd","old.seq","new.seq","change.seq","threshold","time","length"
"1","cluster.A.1.msa.fasta",0.000582830334017108,0.00208008320332813,2.56893435691883,149,2,0.986577181208054,0.00217283959795902,0.087897777557373,3846
"2","cluster.A.2.2.msa.fasta",0.000116255413142674,0.000520020800832033,3.47308892355694,9,2,0.777777777777778,0.000471098473024921,0.00226020812988281,3846
"3","cluster.A.2.5.1.msa.fasta",0.000927374949284183,0.00182434193380245,0.967210711493354,10,2,0.8,0.00164597247806668,0.00223207473754883,3846
"4","cluster.A.2.5.2.msa.fasta",0.000644250354916363,0.00156128024980484,1.42340611517013,17,2,0.882352941176471,0.0014191250967306,0.00284361839294434,3846
"5","cluster.A.2.5.3.msa.fasta",0.000590893291623219,0.00104004160166407,0.760117463522071,6,3,0.5,0.000939227710774993,0.00201845169067383,3846
"6","cluster.A.2.5.msa.fasta",0.000873622781145176,0.00260010400416017,1.97623191642491,131,2,0.984732824427481,0.00259690761856245,0.0605614185333252,3852
"7","cluster.A.2.msa.fasta",0.000564053637516906,0.00182434193380245,2.23434122654296,23,2,0.91304347826087,0.00143415081909178,0.00363373756408691,3855
"8","cluster.A.21.msa.fasta",0.000519921038729947,0.00260620276257493,4.01268955944024,20,2,0.9,0.00211795495319131,0.00342488288879395,3846
"9","cluster.A.23.1.msa.fasta",0.000565979359279584,0.00108422239569781,0.915657131167954,34,4,0.882352941176471,0.00131343549971717,0.00668001174926758,3846
"10","cluster.A.23.msa.fasta",0.000399305555555556,0.000563648976760319,0.411573089625843,6,4,0.333333333333333,0.00070357566743151,0.0042572021484375,3846
"11","cluster.A.28.msa.fasta",0.00054005400540054,0.00156290700703308,1.89398280802292,11,2,0.818181818181818,0.00140949519294276,0.00396084785461426,3846
"12","cluster.A.3.msa.fasta",0.000299333981890294,0.000520291363163372,0.738163371488033,14,8,0.428571428571429,0.000471997611896803,0.00387835502624512,3846
"13","cluster.A.4.msa.fasta",0.000173520735727919,0.000173520735727919,0,3,3,0,0.000234299817389444,0.00246715545654297,3846
"14","cluster.A.5.msa.fasta",0.00119330939991664,0.00338189386056191,1.83404610807404,13,2,0.846153846153846,0.00274601342830748,0.00305008888244629,3846
"15","cluster.A.6.msa.fasta",0.000210194429847609,0.000520020800832033,1.4739989599584,5,2,0.6,0.00047317376147971,0.00677824020385742,3846
"16","cluster.A.msa.fasta",0.000624989880345202,0.00312093628088427,3.99357890268635,120,2,0.983333333333333,0.00288307716589446,0.049274206161499,3846
"17","cluster.AD.2.msa.fasta",0.000630967280263789,0.000972728851832552,0.541647058823529,27,6,0.777777777777778,0.000939355038360524,0.00598526000976562,3846
"18","cluster.AE.6.msa.fasta",0.000446196177586079,0.000624187256176853,0.398907672301691,8,5,0.375,0.000703429570301274,0.00524997711181641,3846
"19","cluster.AH.2.msa.fasta",6.52400835073069e-05,6.52400835073069e-05,0,8,8,0,0.000234991718286623,0.00393915176391602,3846
"20","cluster.AP.1.msa.fasta",0.000491386287432073,0.00104004160166407,1.11654583830412,10,2,0.8,0.00093855067663986,0.00288581848144531,3846
"21","cluster.AY.1.msa.fasta",0.000566297248697953,0.00260416666666667,3.59858611825193,96,2,0.979166666666667,0.00191473394589501,0.0298812389373779,3846
"22","cluster.AY.10.msa.fasta",0.000260552371026576,0.000260552371026576,0,5,4,0.2,0.000469503486764748,0.00237202644348145,3840
"23","cluster.AY.100.msa.fasta",0.000712735584067809,0.00263996812113967,2.70399371120567,2195,7,0.996810933940774,0.00280197615375753,21.8286073207855,3885
"24","cluster.AY.101.msa.fasta",0.000937504888807794,0.00234375,1.4999869632472,131,2,0.984732824427481,0.00211770437633208,0.0586440563201904,3846
"25","cluster.AY.102.msa.fasta",0.00125868055555556,0.00182291666666667,0.448275862068965,4,2,0.5,0.00164339842173449,0.00189590454101562,3840
"26","cluster.AY.103.1.msa.fasta",0.000377336584233136,0.000573364607766484,0.519504420520839,10,5,0.5,0.000705763849956257,0.00282955169677734,3840
"27","cluster.AY.103.sub.1.msa.fasta",0.00062969257627641,0.00225694444444444,2.58420049636052,2856,3,0.998949579831933,0.00294572741592224,39.2387409210205,3864
"28","cluster.AY.103.sub.10.msa.fasta",0.000750998438616554,0.00286458333333333,2.81436656327848,1029,2,0.998056365403304,0.00292619067525889,4.71755266189575,3879
"29","cluster.AY.103.sub.11.msa.fasta",0.00100132167299685,0.00286458333333333,1.8608022881997,372,2,0.994623655913978,0.00299311997249324,0.608671903610229,3846
"30","cluster.AY.103.sub.12.msa.fasta",0.000658637915166808,0.00260416666666667,2.95386692247611,211,2,0.990521327014218,0.00256885561832683,0.161018133163452,3846
"31","cluster.AY.103.sub.13.msa.fasta",0.00056236192006427,0.00109953703703704,0.955212466931217,40,10,0.75,0.00117726758932097,0.00842022895812988,3846
"32","cluster.AY.103.sub.14.msa.fasta",0.00061102651842845,0.00209478921183556,2.42831145401565,42,3,0.928571428571429,0.00190233366354375,0.00766468048095703,3840
"33","cluster.AY.103.sub.15.msa.fasta",0.000507845250928255,0.00139982502187227,1.75640073292725,45,3,0.933333333333333,0.00158373615049234,0.00960659980773926,3840
"34","cluster.AY.103.sub.2.msa.fasta",0.000655819587858423,0.00239651416122004,2.65422778701358,260,4,0.984615384615385,0.00194495705989434,0.283692836761475,3846
"35","cluster.AY.103.sub.3.msa.fasta",0.000762183442427055,0.00434027777777778,4.69453170480434,327,3,0.990825688073395,0.00589846147747275,0.476115226745605,3849
"36","cluster.AY.103.sub.4.msa.fasta",0.000974281832946183,0.00225694444444444,1.31652112163433,314,3,0.990445859872611,0.00242706606738715,0.423371553421021,3846
"37","cluster.AY.103.sub.5.msa.fasta",0.000796563218535753,0.00260416666666667,2.26925296833773,891,2,0.997755331088664,0.00232379711828657,3.51737403869629,3864
"38","cluster.AY.103.sub.6.msa.fasta",0.00118220479010224,0.00260416666666667,1.20280503722324,153,2,0.986928104575163,0.00253503754684332,0.101768493652344,3846
"39","cluster.AY.103.sub.7.msa.fasta",0.00121926233127621,0.00329861111111111,1.70541541922192,95,3,0.968421052631579,0.00395506299691934,0.0304281711578369,3846
"40","cluster.AY.103.sub.8.msa.fasta",0.00110649770524822,0.0021875,0.976958460577457,174,5,0.971264367816092,0.00238571746856491,0.158889055252075,3846
"41","cluster.AY.103.sub.9.msa.fasta",0.000694422341697296,0.00208333333333333,2.00009548690683,185,2,0.989189189189189,0.00189935734206444,0.152586936950684,3852
"42","cluster.AY.105.msa.fasta",0.000963545848723302,0.00182291666666667,0.891883680555555,27,2,0.925925925925926,0.00183210746450895,0.00552773475646973,3840
"43","cluster.AY.106.msa.fasta",0.000818789054083172,0.00182291666666667,1.22635690789474,14,2,0.857142857142857,0.00157149106516424,0.0027625560760498,3846
"44","cluster.AY.107.msa.fasta",0.00079626945585699,0.00243055555555556,2.05242846837526,131,3,0.977099236641221,0.00304792402014098,0.0675222873687744,3846
"45","cluster.AY.108.msa.fasta",0.162120728201852,0.484993614303959,1.99155832621296,6,2,0.666666666666667,0.839185830247211,0.00258851051330566,4359
"46","cluster.AY.109.msa.fasta",0.000877035798192171,0.00159805454229633,0.822108681983558,33,6,0.818181818181818,0.0016597522257875,0.00653076171875,3846
"47","cluster.AY.110.msa.fasta",0.00101149176429197,0.00208333333333333,1.05966415830546,22,2,0.909090909090909,0.00187921571325648,0.00370693206787109,3846
"48","cluster.AY.111.msa.fasta",0.00113136732855043,0.00755208333333333,5.67518244760479,22,2,0.909090909090909,0.00753091492689164,0.00417351722717285,3846
"49","cluster.AY.112.2.msa.fasta",0.000748690975430616,0.0012162279558683,0.624472573839662,11,3,0.727272727272727,0.00140885434549323,0.00284910202026367,3846
"50","cluster.AY.112.msa.fasta",0.000972141387450384,0.00243055555555556,1.50020787812576,39,3,0.923076923076923,0.00212969637410198,0.00748634338378906,3846
"51","cluster.AY.113.msa.fasta",0.000787553271794035,0.00227430555555556,1.88781170367653,287,6,0.979094076655052,0.00221494805822571,0.447145700454712,3846
"52","cluster.AY.114.msa.fasta",0.000860518323753618,0.00208333333333333,1.42102146558105,65,2,0.969230769230769,0.00191347036982193,0.014946460723877,3852
"53","cluster.AY.116.1.msa.fasta",0.000864236435613033,0.00208333333333333,1.41060576421492,69,2,0.971014492753623,0.00211852978992988,0.0165693759918213,3846
"54","cluster.AY.116.msa.fasta",0.000847024360586423,0.00131268049356787,0.549755301794453,20,4,0.8,0.00141976341023455,0.00403285026550293,3846
"55","cluster.AY.117.msa.fasta",0.000954070808178135,0.00260416666666667,1.72953185900269,168,2,0.988095238095238,0.00256152030988478,0.124625444412231,3846
"56","cluster.AY.118.msa.fasta",0.000810245579270333,0.00260416666666667,2.21404612785651,355,3,0.991549295774648,0.00277385385356515,0.601262331008911,3852
"57","cluster.AY.119.1.msa.fasta",0.000543025222092553,0.00121527777777778,1.23797666910331,11,4,0.636363636363636,0.00094521153211423,0.00279593467712402,3846
"58","cluster.AY.119.2.msa.fasta",0.000722758841098519,0.00234375,2.24278288514291,286,2,0.993006993006993,0.00242656880720767,0.370022773742676,3852
"59","cluster.AY.119.msa.fasta",0.000863093519382829,0.00260416666666667,2.01724738766295,822,2,0.997566909975669,0.00237944729563225,2.9184262752533,3867
"60","cluster.AY.120.1.msa.fasta",0.000798948177583245,0.00260416666666667,2.25949384419909,71,2,0.971830985915493,0.0021178842317267,0.0174264907836914,3846
"61","cluster.AY.120.2.1.msa.fasta",0.000208550573514077,0.000520833333333333,1.49739583333333,5,2,0.6,0.000469426721039972,0.00191521644592285,3840
"62","cluster.AY.120.2.msa.fasta",0.000347493701676657,0.000520833333333333,0.498828125,3,2,0.333333333333333,0.000469655734339666,0.00182938575744629,3840
"63","cluster.AY.120.msa.fasta",0.000635763278299371,0.00243055555555556,2.82305118668877,137,3,0.978102189781022,0.00215722997735332,0.0759172439575195,3846
"64","cluster.AY.121.1.msa.fasta",0.000694806322737537,0.00130208333333333,0.8740234375,10,2,0.8,0.00130419007490773,0.00240015983581543,3846
"65","cluster.AY.121.msa.fasta",0.01753365469334,0.541,29.8549477825347,128,2,0.984375,1.11594284016719,0.15328311920166,4897
"66","cluster.AY.122.1.msa.fasta",0.000694444444444444,0.00130208333333333,0.875,10,2,0.8,0.00130453070936009,0.00235438346862793,3846
"67","cluster.AY.122.4.msa.fasta",0.000620487054882904,0.00134548611111111,1.16843542588496,20,4,0.8,0.00130636257866638,0.0039830207824707,3840
"68","cluster.AY.122.6.msa.fasta",0.000571975454596634,0.00182291666666667,2.18705401082677,31,2,0.935483870967742,0.00141523865113983,0.00518798828125,3840
"69","cluster.AY.122.msa.fasta",0.00255572465701799,0.492767295597484,191.80922702074,1087,2,0.998160073597056,0.882590274382806,15.3839747905731,4823
"70","cluster.AY.124.1.1.msa.fasta",0.000677083333333333,0.000694444444444444,0.0256410256410256,6,3,0.5,0.000782042942533598,0.00265264511108398,3840
"71","cluster.AY.124.msa.fasta",0.000870847206544606,0.00182339150820526,1.0938133515295,37,2,0.945945945945946,0.00184187840475044,0.0071408748626709,3840
"72","cluster.AY.125.msa.fasta",0.000637065438243641,0.00234375,2.67897842090069,99,2,0.97979797979798,0.0019078803748694,0.0312979221343994,3852
